,device_id,logins
0,{'95d49678-4360-4d5a-ac2b-3a9b893a0906'},{'fc2bebfc6eea7e7d30579bfd5a9b8bbc6c056c61'}
1,{'de156afc-565e-47b0-a8a1-b9b754b2b981'},"{'e34cede14d7469957986c632404885265d595d24', '686e3c09ebab29aa246a9ce6868a0659d8c65055', 'bcde713056d84ad509ce1900f0dfd525892e7a06'}"
2,"{'b1418ba2-bd30-44c4-ad9e-e4251de42457', '000e0ffb-64b9-438e-9c33-5cf4a8b6dd76'}",{'d84a2ca6707abfcd1cad5657e5c43ad525ed3a56'}
3,{'621ecc4a-5b45-42b7-9a16-d15baf67a78e'},{'2d3471dcd49bb9964344200ad733b995aecac0aa'}
4,{'1813703f-2ad1-4051-910c-ce08b871522b'},{'5071432df9016a009c99246a0c818d40615ef9e6'}
5,{'80e1a08e-3ea8-4b4c-80d9-60e6ba593534'},{'f9699f85c166d88f14e9b295d96719ea00976649'}
6,{'cf0a3693-6e46-4a12-986e-213fbcd98d36'},{'4ef7dfd0aa55f412fd235edc2ef39c414430e8ef'}
7,{'d45c391f-9f15-4719-98e1-dd88f81bca0a'},{'5990488be330738b5e253883af8922a394c52ca4'}
8,{'f986865e-829f-43ce-b7e8-e3328e57c765'},{'e16edfc7ccd57ea881487fd1f138a2e8c61ab012'}
9,{'a9d03ad0-4e75-4bd6-a384-cbfc58bd27cd'},{'4fa7cb9ffa372593adc7b357d339d336570a9282'}
10,{'74b9fa0b-ab5b-42d7-ac0f-acde916e6ff5'},{'47da64f751ecf5149767dde87f9e275eca88df92'}
11,{'90c41abb-a84a-4905-a6b2-8c4108e78563'},{'bd7e9b3793d383a20640095d8aa8f9041cdf81de'}
12,"{'646fb976-ac27-4835-938a-30d7182a048d', '8bf12030-e5df-471a-9037-1426bc1be1c3', '92cb7bbd-08bd-42b4-999e-8e9ea1a924eb'}",{'3a0cdc9cab8cdee8982ec5a3b5dbcb375205cede'}
13,{'351aabed-43b5-461c-923e-ce35dd4f8b0e'},{'ca4a85f660dcec25bfca6685e815f3d4056f5e90'}
14,{'8e746815-9e8d-4394-828d-380f4202eb9e'},{'3193755c48156b1492d31a2be922779ca5cbf01d'}
15,{'0f1e4bf3-4ab9-42df-8a5f-7fda871500f0'},{'d921cb60144c37be60619639825a01888dff01a4'}
16,"{'7b26a66f-1e5b-4191-b29e-0a75408783a8', '5d6a3ca0-bcb9-4c64-a45f-d71e056dc561'}",{'d21e16e4f73eee03a4af84277fa2d2c7450842f6'}
17,{'8659e89d-9765-45db-802a-8480f07240e0'},{'e16edfc7ccd57ea881487fd1f138a2e8c61ab012'}
18,{'a93e6131-4840-4a6f-ad35-61f477e42397'},{'bf07c1d8685590e1e4128d115970ad372febf630'}
19,{'51b573a3-1969-4d99-8ddb-a866cf50e88c'},{'094756051b627fa58bd745ee1883a0a017ce623b'}
20,"{'11859c88-4f4c-425a-a3a5-85d34cf844f2', '69c5d273-55d9-4ae3-96b8-cbaf209ca370'}","{'6faa93ad8196d38f165287e2da28c59984548d8c', 'f4aa6fa730b8e81970c83f1cd2024d7104eddfab'}"
21,{'75884c81-0995-4e3b-a57a-b6b7886aea70'},{'e5e6073e1d434bc49bec0bbbaf93ca0305c48ba6'}
22,{'643c42c3-c9c6-4fe7-963a-2ef06a008bd5'},{'41040c11d12fdc348460f09cc7f63a54a0afddcb'}
23,{'d7ecc406-c401-43b5-8959-32f6f13018e1'},{'b84cc08d4a580e833544a9fea8f93d56f3b29fd9'}
24,{'22aa8cc9-c995-4011-af76-cc4ea769492d'},{'b84cc08d4a580e833544a9fea8f93d56f3b29fd9'}
25,{'5380d8ee-ead6-4b4e-be71-8d3d264f3833'},{'1266e8c3449c3094088ac300bf975c0d48c4d5f3'}
26,{'b97258b7-7e70-44b9-988e-9dee8373f75f'},{'b2f7856c142ff03faaff31f4ba7d26e369ee898f'}
27,{'eea691ff-64f1-44b6-b3e3-0830d7f605b8'},{'8e5192145e047b8dd4082c432188026c4bd2da29'}
28,{'c94ad03f-a7a2-43cf-9828-7d0a42750463'},{'bd7e9b3793d383a20640095d8aa8f9041cdf81de'}
29,{'7fc9b524-e5a2-4a9b-a32f-4f0086210ddd'},{'ca4a85f660dcec25bfca6685e815f3d4056f5e90'}
30,{'34d173d1-7594-49aa-8a4b-55490acc72be'},{'fcee3d008ce3490f89ca7d5795523c6c88fc770f'}
31,{'29501893-72c0-43e8-826a-9d5673c1aef4'},{'640513b9727703ffdb02f08aa5f4b21457b26b18'}
32,{'8fc022ad-fea8-4165-be49-e0d4b627c6e2'},{'7021ae0d75f17b3655f8ba704151a4db0cbadc9c'}
33,{'ff5be60e-b8c9-4158-8d02-24b4075002bb'},{'0215ba87c2e630e69a7abc5efcafc3cd3ede9aec'}
34,{'bde6410e-e904-4336-a483-ad8421599386'},{'bf07c1d8685590e1e4128d115970ad372febf630'}
35,{'a5a4890e-fe5a-48df-a98f-8981d6deaf98'},{'5571e3dfdde062a5ff1e375e695a268ee61900b1'}
36,{'c6680b54-a6d2-4534-8141-c6fc062a3a12'},{'ed9b3e652da241191a4d2f52d6c89d84295a49d3'}
37,{'d2b39ba0-b0f5-4515-aba5-871fb4925f40'},{'05bd9b46dcd6593f820ca6b32212652c6e44c8fb'}
38,"{'341ac6ce-78f0-40c6-8670-280cccca9f13', 'aed4708b-6a61-4b77-8011-93b01f6702e8'}",{'42d7eb866e39ee159a03b34a59d9758663f33c12'}
39,{'9d31760b-33db-4f19-88a5-872f9dc3bcc4'},{'0215ba87c2e630e69a7abc5efcafc3cd3ede9aec'}
40,{'550c45e9-558e-40a1-aae8-cfe217cd9e72'},{'6faa93ad8196d38f165287e2da28c59984548d8c'}
41,{'9c70817b-8967-48fd-9dc4-660b38a59a8d'},{'f4aa6fa730b8e81970c83f1cd2024d7104eddfab'}
42,{'44cbbf5a-fbe3-4183-8547-02bf5956d90f'},{'7dfb816687985d599b9d19cf5062fbe82226d54a'}
43,"{'62f457ff-d549-46a2-a8c8-e3c7f380ed66', '854a1d51-ca04-46b0-ad13-b3c6f4562906'}",{'42d7eb866e39ee159a03b34a59d9758663f33c12'}
44,{'f8d90ec7-e763-4662-9021-20001a9e09ee'},{'8c42adc02ead49d10b3f5e1761b0fbfafac2083d'}
